2021-07-01 11:48:12.0830 Info - SupportBank.Program: Parsing CSV
2021-07-01 11:48:12.1107 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 01/01/2014, From: Jon A, To: Sarah T, Narrative: Pokemon Training, Amount: 7.8
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 20/03/2014, From: Tim L, To: Sarah T, Narrative: Lego Assistance, Amount: 2.28
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 22/03/2014, From: Rob S, To: Tim L, Narrative: Misc Morale, Amount: 1.95
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 23/03/2014, From: Jon A, To: Sam N, Narrative: Lunch, Amount: 8.49
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 27/03/2014, From: Ben B, To: Sam N, Narrative: Misc Morale, Amount: 10.76
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 29/03/2014, From: Todd, To: Sarah T, Narrative: Git-Fu Rendered, Amount: 5.01
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 30/03/2014, From: Dan W, To: Laura B, Narrative: Lunch, Amount: 4.77
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 01/04/2014, From: Sam N, To: Laura B, Narrative: Lunch, Amount: 2.87
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 04/04/2014, From: Todd, To: Ben B, Narrative: Rails Consultancy, Amount: 10.85
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 06/04/2014, From: Jon A, To: Stephen S, Narrative: Beers, Amount: 8.91
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 08/04/2014, From: Stephen S, To: Sam N, Narrative: Lego Assistance, Amount: 2.96
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 09/04/2014, From: Ben B, To: Rob S, Narrative: Coffee, Amount: 1.31
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 10/04/2014, From: Todd, To: Sarah T, Narrative: Snooker Night, Amount: 3.55
2021-07-01 11:48:12.1274 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 11/04/2014, From: Todd, To: Laura B, Narrative: Coffee, Amount: 3.72
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 15/04/2014, From: Rob S, To: Sam N, Narrative: Snooker Night, Amount: 8.86
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 19/04/2014, From: Ben B, To: Gergana I, Narrative: Lunch, Amount: 7.61
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 20/04/2014, From: Dan W, To: Gergana I, Narrative: Beers, Amount: 11.92
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 23/04/2014, From: Stephen S, To: Rob S, Narrative: Poker Winnings, Amount: 3.41
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 24/04/2014, From: Tim L, To: Dan W, Narrative: Misc Morale, Amount: 6.38
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 26/04/2014, From: Todd, To: Tim L, Narrative: Lunch, Amount: 1.46
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 30/04/2014, From: Laura B, To: Ben B, Narrative: Golf Bets, Amount: 5.77
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 03/05/2014, From: Jon A, To: Gergana I, Narrative: Rails Consultancy, Amount: 10.51
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 05/05/2014, From: Dan W, To: Sarah T, Narrative: Stationary Items, Amount: 5.06
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 06/05/2014, From: Tim L, To: Chris W, Narrative: Audit and Other Financial Services, Amount: 7.45
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 10/05/2014, From: Laura B, To: Todd, Narrative: Lego Assistance, Amount: 10.63
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 13/05/2014, From: Tim L, To: Ben B, Narrative: Coffee, Amount: 5.89
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 17/05/2014, From: Rob S, To: Sarah T, Narrative: Misc Morale, Amount: 3.61
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 19/05/2014, From: Jon A, To: Todd, Narrative: Beers, Amount: 9.04
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 22/05/2014, From: Tim L, To: Todd, Narrative: Coffee, Amount: 3.81
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 24/05/2014, From: Sam N, To: Tim L, Narrative: Sandcastle Help, Amount: 8.8
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 26/05/2014, From: Ben B, To: Laura B, Narrative: Lunch, Amount: 7.36
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 30/05/2014, From: Laura B, To: Todd, Narrative: Lunch, Amount: 7.01
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 31/05/2014, From: Tim L, To: Ben B, Narrative: Coffee, Amount: 8.23
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 01/06/2014, From: Tim L, To: Stephen S, Narrative: Rails Consultancy, Amount: 5.2
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 05/06/2014, From: Dan W, To: Gergana I, Narrative: Spline Reticulation, Amount: 5.61
2021-07-01 11:48:12.1421 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 09/06/2014, From: Sarah T, To: Stephen S, Narrative: Lego Assistance, Amount: 11.5
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 11/06/2014, From: Stephen S, To: Sam N, Narrative: Lego Assistance, Amount: 5.14
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 14/06/2014, From: Todd, To: Sam N, Narrative: Lego Assistance, Amount: 6.3
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 16/06/2014, From: Stephen S, To: Dan W, Narrative: Lunch, Amount: 4.79
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 20/06/2014, From: Ben B, To: Chris W, Narrative: Rails Consultancy, Amount: 1.34
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 22/06/2014, From: Tim L, To: Stephen S, Narrative: Coffee, Amount: 6.44
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 23/06/2014, From: Stephen S, To: Ben B, Narrative: Spline Reticulation, Amount: 11.85
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 26/06/2014, From: Chris W, To: Todd, Narrative: Beers, Amount: 9.81
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 28/06/2014, From: Sarah T, To: Gergana I, Narrative: Beers, Amount: 4.03
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 29/06/2014, From: Chris W, To: Laura B, Narrative: Jenkins Fees, Amount: 8.7
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 01/07/2014, From: Rob S, To: Jon A, Narrative: Lunch, Amount: 2.67
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 02/07/2014, From: Stephen S, To: Dan W, Narrative: Lego Assistance, Amount: 2.9
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 06/07/2014, From: Sam N, To: Jon A, Narrative: Beers, Amount: 4.37
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 09/07/2014, From: Dan W, To: Tim L, Narrative: Misc Morale, Amount: 5.45
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 11/07/2014, From: Dan W, To: Sarah T, Narrative: Misc Morale, Amount: 5.05
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 14/07/2014, From: Gergana I, To: Sam N, Narrative: Coffee, Amount: 10.92
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 16/07/2014, From: Jon A, To: Dan W, Narrative: Coffee, Amount: 11.75
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 18/07/2014, From: Gergana I, To: Stephen S, Narrative: Snooker Night, Amount: 11.57
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 22/07/2014, From: Sarah T, To: Ben B, Narrative: Coffee, Amount: 11.56
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 23/07/2014, From: Rob S, To: Tim L, Narrative: Lego Assistance, Amount: 11.47
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 25/07/2014, From: Laura B, To: Stephen S, Narrative: Poker Winnings, Amount: 9.42
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 28/07/2014, From: Gergana I, To: Chris W, Narrative: Pokemon Training, Amount: 2.33
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 29/07/2014, From: Jon A, To: Sam N, Narrative: Lunch, Amount: 5.31
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 01/08/2014, From: Sam N, To: Gergana I, Narrative: Coffee, Amount: 2.72
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 03/08/2014, From: Laura B, To: Rob S, Narrative: Rails Consultancy, Amount: 6.26
2021-07-01 11:48:12.1579 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 04/08/2014, From: Gergana I, To: Ben B, Narrative: Coffee, Amount: 7.81
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 08/08/2014, From: Tim L, To: Laura B, Narrative: Coffee, Amount: 3.76
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 11/08/2014, From: Stephen S, To: Rob S, Narrative: Lunch, Amount: 8.91
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 13/08/2014, From: Sarah T, To: Todd, Narrative: Beers, Amount: 8.25
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 14/08/2014, From: Chris W, To: Tim L, Narrative: Misc Morale, Amount: 6.59
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 18/08/2014, From: Jon A, To: Tim L, Narrative: Lego Assistance, Amount: 7.22
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 21/08/2014, From: Ben B, To: Gergana I, Narrative: Rails Consultancy, Amount: 9.25
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 22/08/2014, From: Chris W, To: Sam N, Narrative: Golf Bets, Amount: 1.9
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 23/08/2014, From: Ben B, To: Stephen S, Narrative: Lunch, Amount: 5.02
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 24/08/2014, From: Laura B, To: Stephen S, Narrative: Audit and Other Financial Services, Amount: 7.45
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 25/08/2014, From: Gergana I, To: Stephen S, Narrative: Beers, Amount: 8.57
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 28/08/2014, From: Laura B, To: Tim L, Narrative: Beers, Amount: 0.57
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 29/08/2014, From: Ben B, To: Chris W, Narrative: Lunch, Amount: 1.66
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 01/09/2014, From: Sam N, To: Gergana I, Narrative: Pokemon Training, Amount: 9.41
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 03/09/2014, From: Jon A, To: Tim L, Narrative: Lunch, Amount: 8.13
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 06/09/2014, From: Dan W, To: Todd, Narrative: Lunch, Amount: 1.8
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 09/09/2014, From: Todd, To: Dan W, Narrative: Audit and Other Financial Services, Amount: 3.93
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 12/09/2014, From: Laura B, To: Jon A, Narrative: Git-Fu Rendered, Amount: 3.11
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 16/09/2014, From: Gergana I, To: Rob S, Narrative: Golf Bets, Amount: 1.28
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 20/09/2014, From: Jon A, To: Ben B, Narrative: Beers, Amount: 3.71
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 24/09/2014, From: Jon A, To: Laura B, Narrative: Golf Bets, Amount: 5.61
2021-07-01 11:48:12.1731 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 27/09/2014, From: Sarah T, To: Dan W, Narrative: Beers, Amount: 11.6
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 29/09/2014, From: Ben B, To: Tim L, Narrative: Misc Morale, Amount: 3.43
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 30/09/2014, From: Jon A, To: Dan W, Narrative: Sandbox Help, Amount: 9.26
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 04/10/2014, From: Ben B, To: Todd, Narrative: Lunch, Amount: 11.28
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 06/10/2014, From: Sarah T, To: Tim L, Narrative: Spline Reticulation, Amount: 7.44
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 10/10/2014, From: Ben B, To: Gergana I, Narrative: Beers, Amount: 3.98
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 14/10/2014, From: Ben B, To: Gergana I, Narrative: Coffee, Amount: 11.65
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 18/10/2014, From: Gergana I, To: Rob S, Narrative: Jenkins Fees, Amount: 5.47
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 19/10/2014, From: Dan W, To: Sam N, Narrative: Automated Testing Services, Amount: 8
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 22/10/2014, From: Dan W, To: Sam N, Narrative: Beers, Amount: 0.55
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 23/10/2014, From: Jon A, To: Dan W, Narrative: Lunch, Amount: 2.37
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 25/10/2014, From: Laura B, To: Todd, Narrative: Beers, Amount: 8.42
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 28/10/2014, From: Gergana I, To: Dan W, Narrative: Misc Morale, Amount: 5.04
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 29/10/2014, From: Dan W, To: Ben B, Narrative: Rails Consultancy, Amount: 5.87
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 30/10/2014, From: Chris W, To: Gergana I, Narrative: Jenkins Fees, Amount: 8.9
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 02/11/2014, From: Sarah T, To: Tim L, Narrative: Lego Assistance, Amount: 4.67
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 04/11/2014, From: Chris W, To: Rob S, Narrative: Sandbox Help, Amount: 6.15
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 07/11/2014, From: Rob S, To: Ben B, Narrative: Rails Consultancy, Amount: 3
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 09/11/2014, From: Sam N, To: Laura B, Narrative: Beers, Amount: 7.76
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 11/11/2014, From: Jon A, To: Ben B, Narrative: Stationary Items, Amount: 0.73
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 14/11/2014, From: Sam N, To: Dan W, Narrative: Spline Reticulation, Amount: 0.8
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 18/11/2014, From: Sam N, To: Chris W, Narrative: Golf Bets, Amount: 6.44
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 19/11/2014, From: Laura B, To: Jon A, Narrative: Coffee, Amount: 2.61
2021-07-01 11:48:12.1888 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 21/11/2014, From: Chris W, To: Todd, Narrative: Lego Assistance, Amount: 1.42
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 23/11/2014, From: Todd, To: Sarah T, Narrative: Beers, Amount: 2.24
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 25/11/2014, From: Chris W, To: Rob S, Narrative: Pokemon Training, Amount: 5.76
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 28/11/2014, From: Tim L, To: Dan W, Narrative: Beers, Amount: 8.76
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 02/12/2014, From: Jon A, To: Sam N, Narrative: Pokemon Training, Amount: 11.04
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 06/12/2014, From: Gergana I, To: Rob S, Narrative: Lego Assistance, Amount: 5.64
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 09/12/2014, From: Jon A, To: Chris W, Narrative: Pokemon Training, Amount: 2.26
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 12/12/2014, From: Dan W, To: Tim L, Narrative: Coffee, Amount: 4.5
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 14/12/2014, From: Gergana I, To: Laura B, Narrative: Lunch, Amount: 4.26
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 16/12/2014, From: Todd, To: Tim L, Narrative: Poker Winnings, Amount: 7.17
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 18/12/2014, From: Chris W, To: Ben B, Narrative: Coffee, Amount: 11.17
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 20/12/2014, From: Rob S, To: Gergana I, Narrative: Lunch, Amount: 1.07
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 21/12/2014, From: Gergana I, To: Laura B, Narrative: Pokemon Training, Amount: 6.86
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 22/12/2014, From: Dan W, To: Jon A, Narrative: Lunch, Amount: 3.66
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 25/12/2014, From: Todd, To: Rob S, Narrative: Lego Assistance, Amount: 1.86
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 28/12/2014, From: Ben B, To: Laura B, Narrative: Coffee, Amount: 1.44
2021-07-01 11:48:12.2039 Debug - SupportBank.Transaction: Creating Transaction with values - Date: 29/12/2014, From: Ben B, To: Sam N, Narrative: Coffee, Amount: 5.26
2021-07-01 11:48:12.2039 Info - SupportBank.Program: Getting all members from transactions
2021-07-01 11:48:12.2039 Debug - SupportBank.Member: Creating Member: Sarah T
2021-07-01 11:48:12.2039 Debug - SupportBank.Member: Creating Member: Tim L
2021-07-01 11:48:12.2039 Debug - SupportBank.Member: Creating Member: Stephen S
2021-07-01 11:48:12.2039 Debug - SupportBank.Member: Creating Member: Ben B
2021-07-01 11:48:12.2039 Debug - SupportBank.Member: Creating Member: Gergana I
2021-07-01 11:48:12.2039 Debug - SupportBank.Member: Creating Member: Sam N
2021-07-01 11:48:12.2039 Debug - SupportBank.Member: Creating Member: Rob S
2021-07-01 11:48:12.2199 Debug - SupportBank.Member: Creating Member: Jon A
2021-07-01 11:48:12.2199 Debug - SupportBank.Member: Creating Member: Laura B
2021-07-01 11:48:12.2199 Debug - SupportBank.Member: Creating Member: Dan W
2021-07-01 11:48:12.2199 Debug - SupportBank.Member: Creating Member: Chris W
2021-07-01 11:48:12.2199 Debug - SupportBank.Member: Creating Member: Todd
2021-07-01 11:48:12.2199 Debug - SupportBank.Program: Transaction from Jon A to Sarah T of amount 7.8 processed
2021-07-01 11:48:12.2199 Debug - SupportBank.Program: Transaction from Stephen S to Tim L of amount 4.37 processed
2021-07-01 11:48:12.2199 Debug - SupportBank.Program: Transaction from Laura B to Stephen S of amount 5.09 processed
2021-07-01 11:48:12.2199 Debug - SupportBank.Program: Transaction from Rob S to Ben B of amount 7.8 processed
2021-07-01 11:48:12.2199 Debug - SupportBank.Program: Transaction from Stephen S to Ben B of amount 7.36 processed
2021-07-01 11:48:12.2199 Debug - SupportBank.Program: Transaction from Sam N to Stephen S of amount 11.63 processed
2021-07-01 11:48:12.2199 Debug - SupportBank.Program: Transaction from Stephen S to Gergana I of amount 5.88 processed
2021-07-01 11:48:12.2199 Debug - SupportBank.Program: Transaction from Sam N to Stephen S of amount 8.2 processed
